Description,Discount_Price,Price,Metal,Metal Color,Stones,Product_Weight
"Effy Mens 14K Yellow Gold Diamond Anchor Pendant, 0.18 TCW",1956.5,2795.0,14K Gold,Yellow,Round Diamond 0.18,0.18
"Effy 14K Rose Gold Diamond Links Pendant, 0.70 TCW",2047.5,4095.0,14K Gold,Rose,Round Diamond 0.7,0.7
"Effy Tanzanite Royale 14K Gold Tanzanite and Diamond Pendant, 1.82 TCW",1536.5,2195.0,14K Gold,White,"Trillion Tanzanite 1.7, Round Diamond 0.12",1.82
"Effy Royale Bleu 14K 2-Tone Sapphire and Diamond Circles Pendant, 1.09 TCW",2625.0,3750.0,14K Gold,Yellow and White,"Round Blue Sapphire 0.75, Round Diamond 0.34,",1.09
"Effy Pave Classica 14K White Gold Diamond Disk Necklace, 0.73 TCW",1785.0,2550.0,14K Gold,White,Round Diamond 0.73,0.73
"Effy Safari 14K Rose Gold Diamond Owl Pendant, 0.58 TCW",2096.5,2995.0,14K Gold,Rose,"Round Diamond, Round Black Diamond , Round Cognac Diamond ",0.58
"Effy Trio 14K Tri Color Gold Diamond Starfish Trio Pendant, 0.23 TCW",1326.5,1895.0,14K Gold,Three Tone,Round Diamond 0.23,0.23
"Effy Novelty 14K Yellow Gold Diamond Starfish Pendant, 0.06 TCW",1186.5,1695.0,14K Gold,Yellow,Round Diamond 0.06,0.06
"Effy Tanzanite Royale Sterling Silver Tanzanite and Diamond Pendant, 2.11 TCW",1362.5,2725.0,Sterling Silver,Sterling Silver,"Rectangle Tanzanite 1.9, Round Diamond 0.21",2.11
"Effy Seaside 14K Yellow Gold Blue & White Diamond Wave Pendant, 0.53 TCW",1956.5,2795.0,14K Gold,Yellow,Round Diamond 0.53,0.53
"Effy Novelty 14K Gold Blue & White Diamond Turtle Pendant, 0.70 TCW",2415.0,3450.0,14K Gold,White,Round Diamond 0.7,0.7
"Effy Novelty 14K Yellow Gold Diamond Bee Pendant, 0.26 TCW",1606.5,2295.0,14K Gold,Yellow,Round Diamond 0.26,0.26
"Effy Mosaic 14K Yellow Gold Multi Gemstone Station Necklace, 8.70 TCW",1396.5,1995.0,14K Gold,Yellow,Round Multi Color 8.7,8.7
"Effy Novelty 14K Gold Tsavorite and Diamond Evil Eye Pendant, 0.33 TCW",976.5,1395.0,14K Gold,Yellow,"Round Tsavorite 0.19, Round Diamond 0.12, Round Black Diamond 0.02",0.33
"Effy Tanzanite Royale 14K Rose Gold Tanznaite and Diamond Pendant, 5.59 TCW",9450.0,13500.0,14K Gold,Rose,"Emerald Cut Tanzanite 5.23, Round Diamond 0.36",5.59
"Effy Seaside 14K Gold Sapphire & Diamond Whale's Tail Pendant, 0.79 TCW",1116.5,1595.0,14K Gold,White,"Round Blue Sapphire 0.74, Round Diamond 0.05",0.79
"14K White Gold 18"" Diamond Station Necklace, 2.00 TCW",5666.5,8095.0,14K Gold,White,"Round Diamond 2,18"" Necklace",2.0
"14K White Gold 18"" Diamond Station Necklace, 1.50 TCW",3776.5,5395.0,14K Gold,White,"Round Diamond 1.5,18"" Necklace",1.5
"14K White Gold 36"" Diamond Station Necklace, 2.00 TCW",5145.0,7350.0,14K Gold,White,"Round Diamond 2,36"" Necklace",2.0
"Effy 925 Sterling Silver & 18K Gold Diamond Pendant, 0.27 TCW",945.0,1350.0,Sterling Silver & 18K Gold,Sterling Silver & 18K Gold,Round Diamond 0.27,0.27
Effy 925 Sterling Silver & 18K Gold Cultured Pearl Pendant,416.5,595.0,Sterling Silver,Sterling Silver,No Stones,0.0
"Effy D'Oro 14K Yellow Gold 18"" Diamond Station Necklace, 0.21 TCW",1046.5,1495.0,14K Gold,Yellow,"Round Diamond 0.21,18"" long necklace with 7 double sided diamond sections",0.21
"Effy Classique 14K White Gold Diamond Necklace, 0.51 TCW",2306.5,3295.0,14K Gold,White,"Multi Shape Diamond 0.5,",0.51
"Effy Seaside 14K White Gold Sapphire & Diamond Dolphin Pendant, 0.76 TCW",1015.0,1450.0,14K Gold,White,"Round Blue Sapphire 0.75, Round Diamond 0.01",0.76
"Effy Trio 14K Tri-Color Gold Diamond Flower Pendant, 0.68 TCW",2125.0,4250.0,14K Gold,Three Tone,Round Diamond 0.68,0.68
"Effy Ocean Bleu 14K White Gold Blue Topaz & Diamond Pendant, 7.27 TCW",1396.5,1995.0,14K Gold,White,"Multi Shape Blue Topaz 7.13, Round Diamond 0.14,Chain Included",7.27
Effy 14K Yellow Gold Pearl Y Necklace,525.0,750.0,14K Gold,Yellow,Pearl,0.0
Effy 14K Yellow Gold Cultured Fresh Water Pearl Necklace,315.0,450.0,14K Gold,Yellow,Round Pearl,0.0
"Effy Seaside Silver & 18K Gold Blue Topaz Starfish Pendant, 4.90 TCW",556.5,795.0,Sterling Silver & 18K Gold,Yellow,Multi Shape Blue Topaz 4.9,4.9
"Effy Safari 14K White Gold Black and White Diamond Eagle Pendant, 0.51 TCW",1326.5,1895.0,14K Gold,White,"Round Diamond 0.51,18"" Chain Included. Pendant Length 1""",0.51
"Jardin Rose Gold Diamond Snake Pendant, 1.02 TCW",2647.5,5295.0,14K Gold,Rose,"Round Cognac Diamond, Round Diamond , Round Tsavorite 0.06",1.02
"Effy Ruby Royale 14K Rose Gold Ruby Diamond Bow Pendant, 1.94 TCW",2446.5,3495.0,14K Gold,Rose,Ruby 1.69,1.94
"Effy 14K Two Tone Gold Emerald and Diamond Pendant, 1.73 TCW",3097.5,6195.0,14K Gold,Yellow and White,"Oval Emerald 1.14, Round Diamond 0.59",1.73
"Effy D'Oro 14K Yellow Gold Diamond Starfish Pendant, 0.51 TCW",1495.0,2600.0,14K Gold,Yellow,Round Diamond 0.51,0.51
"Effy D'Oro 14K Yellow Gold and Diamond Necklace, 4.16 TCW",11196.5,15995.0,14K Gold,Yellow,Multi Shape Diamond 4.16,4.16
"Effy Confetti 14K Rose Gold Cognac, Black & White Diamond Pendant, .77 TCW",1597.5,3195.0,14K Gold,Rose,"Round Black Diamond, Round Diamond , Round Cognac Diamond ,Chain Included",0.77
"Effy Pave Classica 14K White Gold Diamond Pendant, 0.32 TCW",1497.5,2995.0,14K Gold,White,Round Diamond 0.32,0.32
"Effy D'Oro 14K Yellow Gold Diamond Circles Pendant, 0.70 TCW",2325.0,4650.0,14K Gold,Yellow,Round Diamond 0.7,0.7
"Effy Royale Bleu 14K White Gold Blue Sapphire and Diamond Pendant, 0.26 TCW",875.0,1250.0,14K Gold,White,"Round Blue Sapphire 0.19, Round Diamond 0.07",0.26
"Effy Aurora 14K Yellow Gold Opal and Diamond Pendant, 0.62 TCW",766.5,1095.0,14K Gold,Yellow,"Round Opal 0.55, Round Diamond 0.07",0.62
"Effy 14K White Gold Topaz and Diamond Pendant, 8.48 TCW",1225.0,1750.0,14K Gold,White,"Emerald Cut Blue Topaz 8.45, Round Diamond 0.03",8.48
Effy Safari 14K Yellow Gold Tsavorite and Diamond Mini Turtle Pendant,1046.5,1495.0,14K Gold,Yellow,"Round Tsavorite 0.38, Round Diamond 0.06",0.0
"Effy Seaside 14K White Gold Blue & White Diamond Anchor Pendant, 0.20 TCW",795.0,795.0,14K Gold,White,Round Diamond 0.2,0.2
"Effy Watercolors 14K Gold Sapphire & Diamond Butterfly Pendant, 2.34 TCW",2380.0,3400.0,14K Gold,Yellow,"Marquise Multi Sapphire 1.82, Round Diamond 0.52",2.34
"Effy Aurora 14K Yellow Gold Opal and Diamond Pendant, 2.25 TCW",1647.5,3295.0,14K Gold,Yellow,"Oval Opal 1.85, Round Diamond 0.4",2.25
"Effy Blush 14K Rose Gold Morganite and Diamond Heart Pendant, 1.88 TCW",1365.0,1950.0,14K Gold,Rose,"Heart Morganite 1.75, Round Diamond 0.13",1.88
"Effy Pave Classica 14K White Gold Diamond Pendant, 0.53 TCW",1447.5,2895.0,14K Gold,White,Round Diamond 0.53,0.53
"Effy Pave Classica 14K White Gold Diamond Necklace, 2.91 TCW",10150.0,14500.0,14K Gold,White,"Round Diamond 2.91,16"" Necklace",2.91
"14K Two Tone Gold Espresso and White Diamond Crossover Pendant, 1.00 TCW",1575.0,2250.0,14K Gold,Rose and White,Round Diamond 1,1.0
"14K Two Tone Gold Blue and White Diamond Crossover Pendant, 1.00 TCW",1505.0,2150.0,14K Gold,Yellow and White,Round Diamond 1,1.0
"Effy Novelty 14K White Gold Diamond Elephant Pendant, 0.73 TCW",2656.5,3795.0,14K Gold,White,Round Diamond 0.73,0.73
"Effy Royale Bleu 14K White Gold Sapphire & Diamond Wave Pendant, 0.49 TCW",1536.5,2195.0,14K Gold,White,"Round Blue Sapphire 0.29, Round Diamond 0.2",0.49
"Effy 14K Yellow Gold Black and White Diamond Pendant, 1.39 TCW",2397.5,4795.0,14K Gold,Yellow,Round Diamond 1.39,1.39
"Effy Safari 14K Yellow Gold Tsavorite Frog Pendant, 1.13 TCW",2096.5,2995.0,14K Gold,Yellow,"Round Tsavorite 0.84, Round Diamond 0.29, Round Black Diamond ,Chain Included",1.13
"Effy 14K Rose Gold Diamond Station Necklace, 0.34 TCW",1225.0,1750.0,14K Gold,Rose,Round Diamond 0.34,0.34
"Effy Espresso 14K Rose Gold Cognac and White Diamond Pendant, 1.22 TCW",2347.5,4695.0,14K Gold,Rose,Round Diamond 1.22,1.22
"Effy Seaside 14K White Gold Sapphire & Diamond Seahorse Pendant, 0.78 TCW",1575.0,2250.0,14K Gold,White,"Round Blue Sapphire 0.59, Round Diamond 0.19",0.78
"Effy Seaside 14K White Gold Diamond Starfish Pendant, 0.51 TCW",1495.0,2600.0,14K Gold,White,Round Diamond 0.51,0.51
"Effy Novelty 14K Two Tone Gold Diamond Sailboat Pendant, 0.27 TCW",1396.5,1995.0,14K Gold,Yellow and White,Round Diamond 0.27,0.27
"Effy Watercolors 14K Gold Sapphire & Diamond Flamingo Pendant, 0.69 TCW",1326.5,1895.0,14K Gold,Yellow,"Round Multi Sapphire 0.63, Round Diamond 0.06",0.69
"Effy Espresso 14K Gold Espresso & White Diamond Weave Pendant, 0.59 TCW",1625.0,3250.0,14K Gold,Rose,Round Diamond 0.59,0.59
"Effy Duo 14K Yellow and White Gold Diamond Pendant, 0.69 TCW",2097.5,4195.0,14K Gold,Yellow and White,Round Diamond 0.69,0.69
"Effy 14K Yellow Gold Cultured Pearl and Diamond Starfish Pendant, 0.08 TCW",696.5,995.0,14K Gold,Yellow,"Round Pearl, Round Diamond 0.08",0.08
"Effy 14K Gold Cultured Fresh Water Pearl & Diamond Fringe Pendant, 0.17 TCW",1256.5,1795.0,14K Gold,Yellow,"Round Pearl, Round Diamond 0.17",0.17
Effy 14K Yellow Gold Tahitian Pearl Necklace,525.0,750.0,14K Gold,Yellow,Round Pearl,0.0
"Effy Pave Classica 14K White Gold Diamond Necklace, 7.26 TCW",22750.0,32500.0,14K Gold,White,"Round Diamond 7.26,16"" Necklace",7.26
"Effy Signature 14K Rose Gold Ruby, Diamond and Emerald Pendant, 3.33 TCW",4095.0,5850.0,14K Gold,Rose,"Round Ruby 2.55, Round Diamond 0.76, Round Emerald 0.02",3.33
"Effy 14K White Gold Black and White Diamond Pendant, 0.75 TCW",1750.0,3500.0,14K Gold,White,"Round Black Diamond, Round Diamond 0.75,Chain Included",0.75
"Effy D'Oro 14K Yellow Gold Diamond Pendant, 1.95 TCW",5036.5,7195.0,14K Gold,Yellow,"Round Diamond 1.95,18"" Chain Included. Pendant Length 9/16""",1.95
"Effy Bouquet 14K White Gold and Diamond Pendant, 0.42 TCW",1517.5,3035.0,14K Gold,White,Round Diamond 0.42,0.42
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Pendant, 4.21 TCW",2936.5,4195.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 3.57, Round Diamond 0.64",4.21
"Effy Tanzanite Royale 14K Rose Gold Tanzanite & Diamond Pendant, 0.72 TCW",595.0,595.0,14K Gold,Rose,"Trillion Tanzanite 0.66, Round Diamond 0.06",0.72
"Effy Canare 18K Two-Tone Gold Yellow and White Diamond Pendant, 0.74 TCW",5106.5,7295.0,18K Gold,Yellow and White,"Multi Shape Yellow Diamond 0.74,",0.74
"Effy Watercolors 14K Yellow Gold Multi Sapphire and Diamond Palm Tree Pendant, 2.58 TCW",1595.0,2650.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 2.71, Round Diamond 0.26",2.58
"Effy Pave Classica 14K White Gold Diamond Pendant, 0.41 TCW",1995.0,2850.0,14K Gold,White,Round Diamond 0.41,0.41
"Effy Signature 14K Rose Gold Diamond Panther Necklace, 1.52 TCW",8396.5,11995.0,14K Gold,Rose,"Multi Shape Diamond 1.5, Round Tsavorite 0.02",1.52
"Effy 14K White Gold Dark Blue Sapphire and Diamond Pendant, 2.19 TCW",1725.0,3450.0,14K Gold,White,"Oval Blue Sapphire 1.9, Round Diamond 0.29",2.19
"Effy 925 Sterling Silver & 18K Yellow Gold Diamond Necklace, 0.60 TCW",2096.5,2995.0,Sterling Silver & 18K Gold,Yellow,Round Diamond 0.6,0.6
"Effy Eclipse 14K Yellow Gold Onyx and Diamond Pendant, 4.65 TCW",906.5,1295.0,14K Gold,Yellow,"Marquise Onyx 4.5, Round Black Diamond 0.25",4.65
Effy 925 Classic Sterling Silver and 18K Yellow Gold Round Pendant,525.0,750.0,Sterling Silver & 18K Gold,Yellow,No Stones,0.0
"Effy Pave Classica 14K White Gold Diamond Necklace, 0.20 TCW",875.0,1750.0,14K Gold,White,Round Diamond 0.2,0.2
"Gemma Blue Sapphire and Diamond Pendant, 1.80 TCW",2415.0,3450.0,14K Gold,White,"Round Diamond 0.26, Round Sapphire 1.54,Chain Included",1.8
Espresso Yellow Gold Cognac & White Diamond Pendant,2282.5,4565.0,14K Gold,Yellow,Round Diamond 1.03,0.0
"Effy Bouquet 14K White Gold Diamond Cluster Pendant, 0.29 TCW",1247.5,2495.0,14K Gold,White,Round Diamond 0.29,0.29
"Effy Nature 14K Rose Gold Ruby and Diamond Flower Pendant, 2.49 TCW",4126.5,5895.0,14K Gold,Rose,"Round Ruby 2.06, Round Diamond 0.43",2.49
"Effy Novelty 14K Gold Black and White Diamond Palm Tree Pendant, 0.27 TCW",836.5,1195.0,14K Gold,White,Round Diamond 0.27,0.27
"Espresso 14K Yellow Gold Cognac and White Diamond Pendant, 0.78 TCW",2027.5,4055.0,14K Gold,Yellow,Round Diamond 0.78,0.78
"Effy 14K Yellow Gold Diamond Geo Necklace, 0.97 TCW",2225.0,4450.0,14K Gold,Yellow,Round Diamond 0.97,0.97
"Gemma Royalty Sapphire and Diamond Pendant, 2.29 TCW",2376.5,3395.0,14K Gold,Yellow,"Round Diamond 0.39, Oval Sapphire 1.9,Chain Included",2.29
"Effy Mosaic 14K Yellow Gold Multi Gemstone Pendant, 1.40 TCW",906.5,1295.0,14K Gold,Yellow,Round Multi Color 1.4,1.4
"Effy Watercolors 14K Gold Multi Sapphire and Diamond Wave Pendant, 0.85 TCW",1536.5,2195.0,14K Gold,Yellow,"Round Multi Sapphire 0.69, Round Diamond 0.16",0.85
"Effy Pave Classica 14K White Gold Diamond Circle Pendant, 0.64 TCW",1747.5,3495.0,14K Gold,White,Round Diamond 0.64,0.64
"Effy Watercolors 14K Gold Multi Sapphire and Diamond Pendant, 4.03 TCW",1997.5,3995.0,14K Gold,White,"Multi Shape Multi Sapphire 3.85, Round Diamond 0.18",4.03
"Effy Bella Bleu 14K White Gold Blue and White Diamond Pendant, 0.98 TCW",3185.0,4550.0,14K Gold,White,Round Diamond 0.98,0.98
"Effy 14K White Gold Tanzanite and Diamond Trillion Pendant, 0.72 TCW",595.0,595.0,14K Gold,White,"Trillion Tanzanite 0.66, Round Diamond 0.06",0.72
"Effy Aurora 14K Rose Gold Opal and Diamond Pendant, 1.73 TCW",1575.0,2250.0,14K Gold,Rose,"Oval Opal 1.4, Round Diamond 0.33",1.73
"Effy Aurora 14K Rose Gold Opal and Diamond Pendant, 2.57 TCW",1466.5,2095.0,14K Gold,Rose,"Round Opal 2.4, Round Diamond 0.17",2.57
"Effy Blush 14K Rose Gold Morganite and Diamond Pendant, 5.45 TCW",2765.0,3950.0,14K Gold,Rose,"Oval Morganite 5.23, Round Diamond 0.22",5.45
"Effy Novelty 14K Yellow Gold Diamond and Enamel Evil Eye Pendant, 0.15 TCW",897.5,1795.0,14K Gold,Yellow,"Round Diamond 0.15,16"" Chain Included. Pendant Length 3/8""",0.15
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Pendant, 0.88TCW",976.5,1395.0,14K Gold,Yellow,"Round Emerald 0.81, Round Diamond 0.07",0.88
"Effy Canare 14K White Gold Yellow and White Diamond Necklace, 0.81 TCW",6086.5,8695.0,14K Gold,White,"Multi Shape Yellow Diamond 0.47, Round Diamond 0.34",0.81
"Effy 14K Rose Gold Blue Topaz and Diamond Pendant, 6.70 TCW",1397.5,2795.0,14K Gold,Rose,"Cushion Blue Topaz 6.45, Round Cognac Diamond , Round Diamond ",6.7
"Effy 925 Sterling Silver & 18K Yellow Gold Green Amethyst Pendant, 2.75 TCW",486.5,695.0,Sterling Silver & 18K Gold,Yellow,Pear Green Amethyst 2.75,2.75
"Effy Aquarius 14K White Gold Aquamarine and Diamond Necklace, 3.39 TCW",2065.0,2950.0,14K Gold,White,"Oval Aquamarine 3.1, Round Diamond 0.29",3.39
"Effy Nature 14K White Gold Diamond Butterfly Necklace, 0.23",925.0,1850.0,14K Gold,White,Round Diamond 0.23,0.0
"Effy Signature 14K Yellow Gold Diamond & Emerald Pendant, 0.79 TCW",2975.0,4250.0,14K Gold,Yellow,"Round Diamond 0.74, Round Emerald 0.05",0.79
"Effy Aquarius 14K Rose Gold Aquamarine and Diamond Pendant, 3.06 TCW",1250.0,2500.0,14K Gold,Rose,"Cushion Aquamarine 2.85, Round Diamond 0.21",3.06
"Effy Tanzanite Royale 14K White Gold Tanzanite and Diamond Butterfly Necklace, 1.24 TCW",1396.5,1995.0,14K Gold,White,"Pear Tanzanite 1.05, Round Diamond 0.19",1.24
"Effy Kidz 14K Yellow Gold Diamond Heart Necklace, 0.01 TCW",500.0,1000.0,14K Gold,Yellow,Round Diamond 0.01,0.01
"Effy Novelty 14K Rose Gold Diamond Love Pendant, 0.26 TCW",1256.5,1795.0,14K Gold,Rose,"Round Diamond 0.26,17"" Adjustable Chain Attached",0.26
"Effy Pave Classica 14K White Diamond Necklace, 0.10 TCW",976.5,1395.0,14K Gold,White,"Round Diamond 0.1,Length Adjustable 16""-18""",0.1
"Effy Pave Classica 14K White Gold Diamond Necklace, 0.76 TCW",2947.5,5895.0,14K Gold,White,Round Diamond 0.76,0.76
"Effy Signature 14K Rose Gold Diamond and Tsavorite Panther Head Necklace, 0.33 TCW",1575.0,2250.0,14K Gold,Rose,"Round Diamond 0.31, Round Tsavorite 0.02",0.33
"Effy Signature 14K Rose Gold Diamond & Tsavorite Panther Pendant, 0.31 TCW",1047.5,2095.0,14K Gold,Rose,"Round Diamond 0.3, Round Tsavorite 0.01",0.31
"Effy Nature 14K Rose Gold Diamond Butterfly Necklace, 0.34 TCW",1442.5,2885.0,14K Gold,Rose,Round Diamond 0.34,0.34
"Effy Seaside 14K White Gold Blue Diamond Whale's Tail Pendant, 0.05 TCW",495.0,895.0,14K Gold,White,Round Blue Diamond 0.05,0.05
"Effy Bouquet 14K White Gold Diamond Swirl Pendant, 0.93 TCW",2067.5,4135.0,14K Gold,White,Round Diamond 0.93,0.93
"Effy Watercolors 14K Gold Sapphire and Diamond Vertical Pendant, 2.06 TCW",2170.0,3100.0,14K Gold,Yellow,"Square Multi Sapphire 1.81, Round Diamond 0.25",2.06
"Effy Cultured Fresh Water Pearl 18"" Necklace with Sterling Silver Clasp",1116.5,1595.0,Sterling Silver,Sterling Silver,"Round Pearl,",0.0
Effy 925 Classic Sterling Silver and 18K Yellow Gold Pendant,486.5,695.0,Sterling Silver & 18K Gold,Yellow,No Stones,0.0
"Effy Mosaic 14K Yellow Gold Multi Color Necklace, 2.10 TCW",1155.0,1650.0,14K Gold,Yellow,Round Multi Color 2.1,2.1
"Effy Seaside 14K Yellow Gold Diamond Starfish Pendant, 0.13 TCW",976.5,1395.0,14K Gold,Yellow,"Round Diamond 0.13,",0.13
"Effy Royalty 14K White Gold Blue Sapphire and Diamond Pendant, 2.29 TCW",2376.5,3395.0,14K Gold,White,"Round Diamond 0.39,Chain Included",2.29
"Effy Royale Bleu 14K White Gold Sapphrie and Diamond Pendant, 0.63 TCW",662.5,1325.0,14K Gold,White,"Round Blue Sapphire 0.57, Round Diamond 0.06",0.63
"Effy Novelty 14K Yellow Gold Diamond Cross Pendant, 0.22 TCW",836.5,1195.0,14K Gold,Yellow,"Round Diamond 0.22,18"" Chain Included. Pendant 1/2""",0.22
"Effy Seaside 14K Yellow Gold Sapphire & Diamond Dolphins Pendant, 0.72 TCW",1536.5,2195.0,14K Gold,Yellow,"Round Blue Sapphire 0.6, Round Diamond 0.12",0.72
"Effy Novelty 14K White Gold Blue Sapphire Star of David Pendant, 0.36 TCW",766.5,1095.0,14K Gold,White,"Round Blue Sapphire 0.34, Round Diamond 0.02,Chain Included",0.36
"Effy 18K Yellow Gold Tanzanite and Diamond Necklace, 3.52 TCW",14416.5,20595.0,18K Gold,Yellow,"Trillion Tanzanite 2.85, Round Diamond 0.67,",3.52
"Effy Pave Classica 14K White Gold Diamond Pendant, 2.80 TCW",7696.5,10995.0,14K Gold,White,Multi Shape Diamond 2.8,2.8
"Effy Bouquet 14K Tri Color Gold Floating Diamond Cluster Necklace, 0.20 TCW",1187.5,2375.0,14K Gold,Three Tone,Round Diamond 0.2,0.2
"Effy Ruby Royale 14K Yellow Gold Ruby & Diamond Pendant, 1.17 TCW",1186.5,1695.0,14K Gold,Yellow,"Square Ruby 1.06, Round Diamond 0.11",1.17
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Pendant, 3.65 TCW",995.0,2650.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 3.36, Round Diamond 0.29",3.65
"Effy Watercolors 14K Yellow Gold Multi Sapphire and Diamond Whale's Tail Pendant, 0.84 TCW",1247.5,2495.0,14K Gold,Yellow,"Round Multi Sapphire 0.64, Round Diamond 0.2",0.84
"Effy Pave Classica 14K Rose & White Gold Diamond Heart Pendant, 0.47 TCW",1775.0,3550.0,14K Gold,Rose and White,"Round Diamond 0.47,",0.47
"Effy Canare 18K 2-Tone Gold Yellow & White Diamond Necklace, 0.68 TCW",3525.0,7050.0,18K Gold,Yellow and White,"Round Diamond 0.43, Square Yellow Diamond 0.25",0.68
"Effy Gemma 14K White Gold Blue Sapphire & Diamond Cross Pendant, 0.91 TCW",1536.5,2195.0,14K Gold,White,"Round Blue Sapphire 0.7, Round Diamond 0.21,Chain Included",0.91
"Effy Classique 14K White Gold Diamond Circle Pendant, 0.70 TCW",3146.5,4495.0,14K Gold,White,Multi Shape Diamond 0.7,0.7
"Effy Novelty 14K Rose Gold Diamond Palm Tree Pendant, 0.10 TCW",450.0,450.0,14K Gold,Rose,Round Diamond 0.1,0.1
"Gemma White Gold Emerald & Diamond Pendant, 1.25 TCW",2096.5,2995.0,14K Gold,White,"Emerald Cut Emerald 0.95, Round Diamond 0.3",1.25
"Effy 14K White Gold Black and White Diamond Pendant, 0.48 TCW",1676.5,2395.0,14K Gold,White,Round Diamond 0.48,0.48
"Effy Safari 14K White Gold Black and White Diamond Zebra Pendant, 0.50 TCW",2026.5,2895.0,14K Gold,White,Round Diamond 0.5,0.5
"Effy Classique 14K White Gold Diamond Pendant, 0.91 TCW",4406.5,6295.0,14K Gold,White,Multi Shape Diamond 0.91,0.91
"Effy 14K White Gold Pink and White Diamond Pendant, 0.48 TCW",3846.5,5495.0,14K Gold,White,"Round Pink Diamond 0.26, Round Diamond 0.22",0.48
"Effy Tanzanite Royale 14K White Gold Tanzanite and Diamond Necklace, 0.93",1447.5,2895.0,14K Gold,White,"Round Tanzanite 0.57, Round Diamond 0.36",0.0
"14K White Gold 18"" Diamond Station and Flower Cluster Necklace, 1.51 TCW",4196.5,5995.0,14K Gold,White,"Round Diamond 1.51,18"" Necklace",1.51
"Effy Safari 14K Yellow Gold Multi Gemstone and Diamond Snake Pendant, 2.16",2236.5,3195.0,14K Gold,Yellow,"Multi Shape Multi Color 1.77, Round Diamond 0.39",0.0
"14K White Gold Tanzanite and Diamond Pendant, 2.13 TCW",995.0,995.0,14K Gold,White,"Oval Tanzanite 2, Round Diamond 0.13",2.13
"Effy 925 Sterling Silver Onyx and Diamond Pendant, 4.93 TCW",346.5,495.0,Sterling Silver,Sterling Silver,"Cushion Onyx 4.9, Round Diamond 0.03",4.93
"Effy Mosaic 14K Yellow Gold Multi Gemstone and Diamond Necklace, 2.83 TCW",1396.5,1995.0,14K Gold,Yellow,"Emerald Cut Multi Color 2.7, Round Diamond 0.13",2.83
Effy 14K Yellow Gold Cultured Fresh Water Pearl Necklace,346.5,495.0,14K Gold,Yellow,Round Pearl,0.0
Effy 14K Yellow Gold Cultured Fresh Water Pearl Pendant,416.5,595.0,14K Gold,Yellow,Round Pearl,0.0
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Palm Tree Pendant, 0.33 TCW",906.5,1295.0,14K Gold,Yellow,"Round Multi Sapphire 0.29, Round Diamond 0.04",0.33
"Effy Watercolors 14K Gold Multi Sapphire & Diamond Necklace, 11.21 TCW",10850.0,15500.0,14K Gold,Yellow,"Square Multi Sapphire 10.11, Round Diamond 1.2",11.21
"Effy Novelty 14K Yellow Gold Diamond Nautical Necklace, 0.18 TCW",1767.5,2525.0,14K Gold,White,Round Diamond 0.18,0.18
"Effy Signature 14K Yellow Gold Emerald & Diamond Pendant, 1.32 TCW",2306.5,3295.0,14K Gold,Yellow,"Round Emerald 0.81, Round Diamond 0.49, Round Tsavorite 0.02",1.32
"Effy 14K White Gold Black and White Diamond Pendant, 0.92 TCW",2096.5,2995.0,14K Gold,White,"Round Black Diamond, Round Diamond ",0.92
"Effy Pave Classica 14K White Gold Diamond Flower Necklace, 0.50 TCW",1847.5,3695.0,14K Gold,White,Multi Shape Diamond 0.5,0.5
"14K White and Yellow Gold Diamond Crossover Pendant, 1.00 TCW",2205.0,3150.0,14K Gold,Yellow and White,Round Diamond 1,1.0
"Effy Novelty 14K White Gold Diamond Palm Tree Pendant, 0.10 TCW",497.5,995.0,14K Gold,White,Round Diamond 0.1,0.1
"Effy 14K White Gold Black and White Diamond Pendant, 0.86 TCW",2236.5,3195.0,14K Gold,White,Round Diamond 0.86,0.86
"Effy Seaside 14K White Gold Sapphire & Diamond Dolphins Pendant, 0.65 TCW",1816.5,2595.0,14K Gold,White,"Round Blue Sapphire 0.44, Round Diamond 0.21",0.65
"Effy Canare 18K Two-Tone Gold Yellow and White Diamond Pendant, 0.52 TCW",2446.5,3495.0,18K Gold,Yellow and White,"Round Yellow Diamond 0.52,",0.52
"Effy Novelty 14K Yellow Gold Onyx and Diamond Hamsa Pendant, 2.98 TCW",770.0,1100.0,14K Gold,Yellow,"Round Onyx 2.9, Round Diamond 0.08",2.98
"Effy D'Oro 14K Yellow Gold Diamond Disk Pendant, 1.60 TCW",4445.0,6350.0,14K Gold,Yellow,Multi Shape Diamond 1.6,1.6
"Effy Mosaic Sterling Silver & 18K Gold Multi Sapphire Pendant, 1.55 TCW",665.0,950.0,Sterling Silver & 18K Gold,Yellow,Round Multi Sapphire 1.55,1.55
"Effy Signature 14K White Gold Diamond and Emerald Necklace, 3.19 TCW",8997.5,17995.0,14K Gold,White,"Round Diamond 3.16, Round Emerald 0.03,",3.19
"Effy Classique 14K White Gold Diamond Necklace, 0.61 TCW",2205.0,3150.0,14K Gold,White,Multi Shape Diamond 0.61,0.61
